,HE PROVIDER,Total full-time entrants,Number who continue or qualify at same HEP,Percentage who continue or qualify at same HEP (%),Adjusted sector continue or qualify (%),Number who transfer to other UK HEP,Percentage who transfer to other UK HEP (%),Adjusted sector transfer to other UK HEP (%),Number no longer in HE,Percentage no longer in HE (%),Benchmark (%),Standard deviation (%),HE providers average contribution to benchmark (%),Average number of HE providers in comparison,County,Year,Location,Churn Level
102,The University of Leicester,2615,2405,0.47,93.2,70,2.6,2.2,145,5.5,4.6,0.47,2.5,86.6,England,2014-15,Leicester,Moderate
103,The University of Lincoln,3030,2850,0.43,89.4,45,1.6,2.7,135,4.4,7.9,0.43,1.9,100.7,England,2014-15,Lincoln,Low
104,Liverpool Hope University,1325,1145,0.77,88.5,35,2.6,2.6,140,10.7,8.8,0.77,1.2,98,England,2014-15,Hope,High
105,Liverpool John Moores University,5670,5010,0.36,88.5,135,2.4,2.9,530,9.3,8.6,0.36,3.3,94.4,England,2014-15,Liverpool,Moderate
106,The Liverpool Institute for Performing Arts,175,155,2.06,88.8,5,2.3,2.6,15,9.6,8.6,2.06,0.4,118.8,England,2014-15,Liverpool,Moderate
107,The University of Liverpool,4210,3935,0.36,93,95,2.3,2.2,180,4.3,4.7,0.36,4,80.6,England,2014-15,Liverpool,Low
108,Liverpool School of Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Liverpool,Low
109,"University of the Arts, London",3145,2820,0.42,89.6,75,2.4,2.2,250,8,8.2,0.42,28.2,81.7,England,2014-15,London,Moderate
110,London School of Business and Finance (UK) Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
111,London Bridge Business Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
112,London Business School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
113,London School of Business and Management,160,115,2.53,81.9,15,9.3,1.9,30,18,16.1,2.53,2.4,107.2,England,2014-15,Birmingham,High
114,London Churchill College Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
115,City of London College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
116,University of London (Institutes and activities),0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
117,City and Guilds of London Art School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
118,London Centre of Contemporary Music,40,35,4.55,87.9,0,0,1.8,5,12.2,10.3,4.55,0.3,113.4,England,2014-15,London,High
119,The London College UCK,100,85,3.1,84.5,0,1,1.6,15,14.3,13.9,3.1,1.1,113.5,England,2014-15,London,High
120,London Metropolitan University,3125,2325,0.57,84.6,245,7.9,2.8,550,17.6,12.6,0.57,3.7,92.9,England,2014-15,London,High
121,London School of Academics Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Medway,Low
122,London South Bank University,3120,2590,0.52,86.3,140,4.5,2.8,385,12.4,10.9,0.52,2.6,90,England,2014-15,London,High
123,London School of Economics and Political Science,835,795,0.75,96.2,15,1.9,1.5,25,2.9,2.3,0.75,5.5,62.6,England,2014-15,London,Low
124,London School of Hygiene and Tropical Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
125,London School of Management Education,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
126,London School of Theology,45,35,4.81,86.9,0,0,2.4,10,20.5,10.7,4.81,2.6,59.4,England,2014-15,London,High
127,Stratford College London Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
128,London Studio Centre,105,100,2.29,90,5,2.8,2.4,5,4.7,7.6,2.29,0.4,129.2,England,2014-15,London,Low
129,The London Institute of Banking and Finance,60,50,3.59,87.6,5,6.9,3.4,5,10.3,9,3.59,0.3,113.1,England,2014-15,London,High
130,Loughborough University,3030,2875,0.4,92.7,65,2.2,2.4,85,2.8,4.9,0.4,3.7,88.3,England,2014-15,Loughborough,Low
131,Luther King House Educational Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Birmingham,Low
132,The Manchester Metropolitan University,8070,7125,0.3,88.3,215,2.7,2.9,730,9,8.8,0.3,3.8,101.3,England,2014-15,Manchester,Moderate
133,The University of Manchester,6210,5795,0.29,94.2,175,2.8,2,240,3.9,3.8,0.29,4.5,80.7,England,2014-15,Manchester,Low
134,Istituto Marangoni Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
135,The Markfield Institute of Higher Education,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Leicestershire,Low
136,Matrix College of Counselling and Psychotherapy Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
137,Mattersey Hall,35,30,4.78,86.8,0,2.9,2.2,5,14.7,11.1,4.78,2.5,56,England,2014-15,Lincoln,High
138,St Mellitus College,70,70,2.27,86.5,0,0,2,0,0,11.4,2.27,12.5,37.8,England,2014-15,London,Low
139,The Metanoia Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
140,Middlesex University,3380,2825,0.51,86.2,110,3.2,2.8,445,13.2,10.9,0.51,1.9,99.4,England,2014-15,London,High
141,Millennium Performing Arts Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
142,Mountview Academy of Theatre Arts,95,90,2.42,89.3,0,0,2.3,5,5.3,8.4,2.42,0.3,126.7,England,2014-15,London,Moderate
143,Mont Rose College of Management and Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
144,Moorlands College,80,70,3.01,86.6,0,0,2.4,10,11.4,10.9,3.01,4.4,56.4,England,2014-15,Derby,High
145,All Nations Christian College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Nottingham,Low
146,Nazarene Theological College,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Birmingham,Low
147,Nelson College London Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
148,Newcastle University,4255,4010,0.34,93.9,95,2.2,2.1,150,3.5,4,0.34,4.4,77.8,England,2014-15,Newcastle upon Tyne,Low
149,New College of the Humanities,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"London, England",Low
150,Newman University,705,600,1.07,88.4,25,3.4,2.3,85,11.9,9.3,1.07,1.3,89.5,England,2014-15,"Birmingham, England",High
151,St Nicholas Montessori Training Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"Milton Keynes, England",Low
152,Norland College,70,70,2.61,88.4,0,0,3,0,2.8,8.7,2.61,0.6,100.1,England,2014-15,"Bath, England",Low
153,The University of Northampton,2885,2575,0.49,87.8,70,2.4,2.6,240,8.3,9.6,0.49,1.6,95.9,England,2014-15,"Northampton, England",Moderate
154,Nova College of Accounting and Business Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"London, England",Low
155,Northern College of Acupuncture,35,30,4.85,90.1,0,0,1.2,5,11.8,8.8,4.85,0.5,83.4,England,2014-15,"Newcastle upon Tyne, England",High
156,University of Northumbria at Newcastle,5520,4965,0.35,89,130,2.4,2.8,425,7.7,8.2,0.35,2.7,100.2,England,2014-15,"Newcastle upon Tyne, England",Moderate
157,Norwich University of the Arts,660,610,1,89.1,5,0.5,2.3,45,7.1,8.6,1,1.7,124.9,England,2014-15,"Norwich, England",Moderate
158,University of Nottingham,5445,5170,0.3,94.1,85,1.6,1.9,190,3.5,4,0.3,4,77.6,England,2014-15,"Nottingham, England",Low
159,The Nottingham Trent University,6960,6415,0.29,89.4,135,2,2.8,405,5.8,7.8,0.29,3.9,95.4,England,2014-15,"Nottingham, England",Moderate
160,Oak Hill College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"High Wycombe, Buckinghamshire, England",Low
161,Open College of the Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"London, England",Low
162,The Open University in England,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"Milton Keynes, England",Low
163,ICOM,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"London, England",Low
164,Oxford Brookes University,2920,2705,0.45,90,50,1.7,2.4,165,5.7,7.5,0.45,2.5,87.2,England,2014-15,"Oxford, England",Moderate
165,Oxford Business College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"Oxford, England",Low
166,The University of Oxford,2620,2570,0.39,96.6,15,0.6,1.4,35,1.3,2,0.39,9.2,57,England,2014-15,"Oxford, England",Low
167,St Patrick's International College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"Leeds, England",Low
168,Pearson College,70,60,3.18,87.2,5,7,3,5,9.9,9.9,3.18,0.3,107.1,England,2014-15,"London, England",High
169,Plymouth College of Art,395,330,1.53,87.2,10,2,2.1,55,14,10.7,1.53,1.7,116.8,England,2014-15,"Plymouth, England",High
170,University of Plymouth,5665,5190,0.34,88.8,80,1.4,2.6,395,7,8.6,0.34,2.8,90,England,2014-15,"Plymouth, England",Moderate
171,Point Blank Music College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"London, England",Low
172,The University of Portsmouth,4850,4470,0.35,88.1,95,2,3.2,280,5.8,8.7,0.35,2.7,95.4,England,2014-15,"Portsmouth, England",Moderate
173,Queen Mary University of London,2925,2620,0.45,93.2,125,4.2,2.1,185,6.3,4.6,0.45,3,78.8,England,2014-15,"London, England",Moderate
174,Royal Academy of Dance,35,30,5.03,90.1,0,0,1.9,5,16.7,8,5.03,0.2,99.6,England,2014-15,"London, England",High
175,Ravensbourne,710,635,1.03,87.9,10,1.1,2.7,70,9.7,9.4,1.03,1.6,110.5,England,2014-15,"London, England",Moderate
176,"Richmond, The American International University in London",120,95,2.38,86.4,15,10.8,3,15,10.8,10.6,2.38,0.5,98,England,2014-15,"London, England",High
177,The University of Reading,2695,2510,0.45,92.5,50,1.9,2.3,135,4.9,5.2,0.45,3.4,90,England,2014-15,"Reading, Berkshire, England",Low
178,Regent's University London,270,210,1.76,83.9,25,9.6,2.9,35,13.6,13.2,1.76,1.3,104.1,England,2014-15,"London, England",High
179,Regents Theological College,40,35,4.55,87.5,0,0,2.2,5,13.2,10.4,4.55,1.6,73.4,England,2014-15,"Cambridge, England",High
180,Regent College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"London, England",Low
181,Roehampton University,2090,1770,0.61,88.2,110,5.2,2.8,210,10.1,9,0.61,2,95.3,England,2014-15,"London, England",High
182,Rose Bruford College,190,165,2.07,88.7,0,0.5,2.5,20,11.2,8.8,2.07,0.5,119.9,England,2014-15,"Sidcup, London, England",High
183,Royal Academy of Music,55,55,2.82,92,0,0,2.3,0,1.8,5.7,2.82,0.5,115.7,England,2014-15,"London, England",Low
184,Royal Agricultural University,250,240,1.4,90.4,5,1.6,2.2,10,3.2,7.4,1.4,3.4,54.2,England,2014-15,"Cirencester, England",Low
185,Royal College of Art,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,"London, England",Low
186,Royal College of Music,75,75,2.49,92,0,0,2.2,0,2.6,5.8,2.49,0.4,120.2,England,2014-15,"London, England",Low
187,The Royal Central School of Speech and Drama,200,190,1.69,90,0,0.5,2.1,10,4.5,7.9,1.69,0.7,120.4,England,2014-15,"London, England",Low
188,Royal Holloway and Bedford New College,1775,1645,0.56,92,45,2.6,2.5,80,4.6,5.5,0.56,1.5,97.3,England,2014-15,"Egham, Surrey, England",Low
189,Royal Northern College of Music,135,125,1.93,92.1,5,3,2.2,5,4.5,5.7,1.93,0.7,117.8,England,2014-15,Manchester,Low
190,The Royal Veterinary College,305,295,1.2,95.7,0,0.7,0.9,10,2.9,3.4,1.2,8,32.3,England,2014-15,London,Low
191,SAE Education Limited,385,345,1.39,81.2,0,0.5,4.3,40,10.9,14.5,1.39,6,63.1,England,2014-15,London,High
192,"St George's, University of London",575,555,0.9,95.5,5,1,1.2,15,2.4,3.4,0.9,2.5,68,England,2014-15,London,Low
193,"St Mary's University, Twickenham",1255,1105,0.76,87.9,40,3,2.8,115,9,9.3,0.76,1.4,94.6,England,2014-15,Twickenham,Moderate
194,The University of Salford,4545,3950,0.41,87,135,2.9,2.9,460,10.1,10.1,0.41,2.8,93.7,England,2014-15,Salford,High
195,The Salvation Army,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
196,London School of Science and Technology Limited,30,20,7.15,81.8,0,0,2.1,10,34.4,16.1,7.15,0.4,115.1,England,2014-15,London,Very High
197,The School of Oriental and African Studies,580,505,1.06,91.3,30,5.3,2.4,45,7.9,6.3,1.06,1.5,83.7,England,2014-15,London,Moderate
198,Sheffield Hallam University,6815,6280,0.31,88.8,75,1.1,2.8,455,6.7,8.4,0.31,2.9,96.2,England,2014-15,Sheffield,Moderate
199,The University of Sheffield,4410,4200,0.32,94.1,90,2.1,2,120,2.7,3.8,0.32,4,77,England,2014-15,Sheffield,Low
200,The Sherwood Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Nottingham,Low
201,Slough Borough Council,15,15,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Berkshire,Low
202,Southampton Solent University,2880,2520,0.51,85.5,85,3,3.2,270,9.4,11.3,0.51,2.6,100.8,England,2014-15,Southampton,Moderate
203,The University of Southampton,3935,3755,0.35,93.8,65,1.6,1.9,120,3,4.3,0.35,3,82.6,England,2014-15,Southampton,Low
204,Spurgeon's College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
205,Staffordshire University,2770,2290,0.56,84.5,110,3.9,3.3,375,13.5,12.2,0.56,2.8,88.7,England,2014-15,Stoke-on-Trent,High
206,University of St Mark and St John,690,590,1.12,87.3,10,1.4,2.3,90,13,10.4,1.12,1.3,97.4,England,2014-15,Plymouth,High
207,University of Suffolk,1140,955,0.89,87,25,2,2.2,165,14.4,10.8,0.89,1.2,98.1,England,2014-15,Ipswich,High
208,The University of Sunderland,2570,2175,0.6,87.2,30,1.2,2.8,365,14.2,10,0.6,1.7,100,England,2014-15,Sunderland,High
209,The University of Surrey,2595,2390,0.47,91.8,60,2.4,2.3,145,5.5,5.9,0.47,1.6,91.4,England,2014-15,Guildford,Moderate
210,The University of Sussex,2415,2245,0.47,92.3,65,2.7,2.4,100,4.2,5.3,0.47,1.8,88.2,England,2014-15,Brighton,Low
211,Teesside University,3130,2755,0.5,86.2,45,1.4,3,330,10.5,10.7,0.5,2.2,93.3,England,2014-15,Middlesbrough,High
212,Tottenham Hotspur Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
213,Trinity Laban Conservatoire of Music and Dance,180,165,1.85,90.1,5,3.8,2.3,10,6,7.6,1.85,0.6,121.8,England,2014-15,London,Moderate
214,The University of Law,265,225,1.65,87.6,10,4.2,3.7,25,9.8,8.7,1.65,3.1,73.2,England,2014-15,London,High
215,University College London,2930,2770,0.41,95.1,60,2,1.7,100,3.4,3.3,0.41,4.3,63.2,England,2014-15,London,Low
216,The University of Warwick,2935,2755,0.43,95.1,45,1.6,1.7,135,4.6,3.3,0.43,5.5,67.8,England,2014-15,Coventry,Low
217,Waverley Abbey College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Farnham,Low
218,"University of the West of England, Bristol",5625,5115,0.34,89.2,120,2.2,2.7,385,6.9,8.1,0.34,2.8,93.2,England,2014-15,Bristol,Moderate
219,West Dean College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,Chichester,Low
220,The University of West London,2160,1815,0.61,85.6,95,4.4,2.9,245,11.4,11.5,0.61,2,98.9,England,2014-15,Slough,High
221,The University of Westminster,3875,3330,0.43,87.4,200,5.2,3.1,340,8.8,9.5,0.43,2.6,97.9,England,2014-15,London,Moderate
222,The University of Winchester,1905,1730,0.57,90,50,2.5,2.6,125,6.5,7.5,0.57,1.7,92.9,England,2014-15,Winchester,Moderate
223,West London College of Business and Management Sciences Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2014-15,London,Low
224,The University of Wolverhampton,4675,3940,0.43,85.6,105,2.2,3.1,630,13.5,11.4,0.43,3.1,95,England,2014-15,Wolverhampton,High
225,University of Worcester,2080,1865,0.59,88.2,30,1.5,2.4,180,8.7,9.3,0.59,1.8,95.9,England,2014-15,Worcester,Moderate
226,Writtle University College,225,190,1.84,87.7,5,2.2,1.9,30,13.8,10.4,1.84,7.8,39.3,England,2014-15,Chelmsford,High
227,York St John University,1655,1525,0.62,90,20,1.2,2.5,110,6.8,7.5,0.62,1.6,96.4,England,2014-15,York,Moderate
228,The University of York,3305,3135,0.39,93.7,50,1.5,2,120,3.6,4.3,0.39,2.7,82.9,England,2014-15,York,Low
229,AA School of Architecture,20,15,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Oxford,Low
230,ABI College Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Guildford,Low
231,Access to Music Limited,45,30,5.01,83.7,5,6.8,2.9,10,20.5,13.3,5.01,3.8,86.8,England,2015-16,London,High
232,Academy of Live and Recorded Arts,60,50,3.93,88.3,0,0,2.3,10,13.8,9.4,3.93,0.3,130.1,England,2015-16,Birmingham,High
233,Anglia Ruskin University,4940,4120,0.42,83.7,145,3,3.2,670,13.5,13.1,0.42,6.8,85.9,England,2015-16,London,High
234,Apex College London,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Cambridge,Low
235,Arden University,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
236,Arts Educational Schools,70,70,2.72,89.6,0,0,2.2,5,4.2,8.3,2.72,0.3,133.8,England,2015-16,Coventry,Low
237,Aston University,2890,2675,0.43,90.1,95,3.3,3.2,115,4,6.7,0.43,2.6,99,England,2015-16,London,Low
238,Bath Spa University,2060,1865,0.57,89.8,45,2.2,2.5,150,7.2,7.7,0.57,1.6,105.1,England,2015-16,Birmingham,Moderate
239,The University of Bath,2625,2510,0.41,94.4,55,2,2,60,2.3,3.6,0.41,6.3,70.6,England,2015-16,Birmingham,Low
240,University of Bedfordshire,2720,2210,0.59,84.9,110,4.1,3.1,400,14.7,11.9,0.59,1.9,97.9,England,2015-16,Birmingham,High
241,BIMM Limited,1755,1445,0.73,86.2,40,2.2,2.5,270,15.5,11.2,0.73,7.1,121.8,England,2015-16,Bristol,High
242,Birkbeck College,990,800,0.95,82.8,35,3.7,3.3,155,15.6,13.9,0.95,4.7,82.3,England,2015-16,Lincoln,High
243,Birmingham City University,5545,4780,0.37,87.1,200,3.6,3.2,565,10.2,9.7,0.37,2.8,101.8,England,2015-16,London,High
244,The University of Birmingham,5465,5210,0.3,94.2,85,1.6,2,170,3.1,3.8,0.3,4.3,80.6,England,2015-16,Bolton,Low
245,University College Birmingham,950,810,0.98,84.6,10,1.3,3.3,130,13.6,12,0.98,2.1,105.6,England,2015-16,Bournemouth,High
246,Bristol Baptist College,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Bournemouth,Low
247,Bishop Grosseteste University,675,635,0.91,90.4,10,1.2,1.9,35,4.9,7.7,0.91,3.6,79.5,England,2015-16,London,Low
248,The University of Bolton,1460,1125,0.84,84.2,85,6,3.5,250,17.2,12.3,0.84,1.4,99.8,England,2015-16,Bradford,High
249,The Arts University Bournemouth,1040,965,0.74,90.4,20,1.9,2.2,50,4.9,7.4,0.74,2.8,127.4,England,2015-16,Brighton,Low
250,Bournemouth University,4220,3720,0.42,88.1,115,2.8,3,380,9,8.8,0.42,2.5,102,England,2015-16,London,Moderate
251,BPP University,830,630,1.08,83.5,55,6.7,3.6,150,17.8,12.9,1.08,4.9,79.5,England,2015-16,Bristol,High
252,The University of Bradford,2150,1830,0.59,87.4,120,5.6,3.3,200,9.3,9.3,0.59,1.7,98,England,2015-16,Bristol,Moderate
253,The University of Brighton,4625,4100,0.39,88.7,155,3.4,2.9,365,7.9,8.4,0.39,2.1,94.5,England,2015-16,Bristol,Moderate
254,The University College of Osteopathy,60,50,3.67,89.8,0,3.4,2.1,5,10.3,8.1,3.67,0.8,84.8,England,2015-16,Uxbridge,High
255,The University of Bristol,4260,4065,0.33,95.3,90,2.1,1.8,105,2.5,2.9,0.33,5.4,68.6,England,2015-16,Bristol,Low
256,Brit College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Buckingham,Low
257,Trinity College Bristol,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
258,Brunel University London,2630,2300,0.49,89.2,155,5.9,3.2,175,6.6,7.6,0.49,1.9,98.8,England,2015-16,London,Moderate
259,Buckinghamshire New University,1995,1710,0.65,85.4,50,2.5,3.2,240,11.9,11.3,0.65,1.6,103.6,England,2015-16,Cambridge,High
260,The University of Buckingham,250,225,1.61,88.6,5,2.8,2.4,20,8.4,9,1.61,1.8,67,England,2015-16,Cambridge,Moderate
261,UK College of Business and Computing,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Cambridge,Low
262,London College of Business Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
263,Cambridge Arts and Sciences Limited,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Canterbury,Low
264,The University of Cambridge,2660,2620,0.38,96.5,20,0.7,1.4,25,0.9,2.1,0.38,11.1,52.2,England,2015-16,Preston,Low
265,The Cambridge Theological Federation,20,20,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
266,The Institute of Cancer Research,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Chester,Low
267,Canterbury Christ Church University,3305,2875,0.49,87.6,75,2.3,2.8,350,10.7,9.5,0.49,2.2,93.4,England,2015-16,Chichester,High
268,The University of Central Lancashire,5015,4295,0.4,86.4,170,3.4,3.1,550,11,10.5,0.4,3.3,95.8,England,2015-16,London,High
269,University of Chester,3055,2705,0.49,89.1,85,2.8,2.7,265,8.7,8.2,0.49,1.8,95.8,England,2015-16,London,Moderate
270,The University of Chichester,1425,1300,0.68,87.4,25,1.8,2.9,105,7.2,9.7,0.68,1.2,109.7,England,2015-16,London,Moderate
271,Chicken Shed Theatre Company,25,25,5.2,85.8,0,0,2.1,0,7.7,12.2,5.2,0.2,130.7,England,2015-16,London,Moderate
272,The College of Integrated Chinese Medicine,55,50,3.95,90.6,0,0,1.1,5,12.5,8.2,3.95,0.8,88.4,England,2015-16,London,High
273,Christie's Education Limited,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
274,The City College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Sheffield,Low
275,"City, University of London",2130,1715,0.62,89.2,170,8,3.1,245,11.5,7.7,0.62,1.8,92,England,2015-16,London,High
276,Cliff College,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
277,The Academy of Contemporary Music,470,400,1.4,87.1,5,1.3,2.4,65,14,10.4,1.4,1.8,130.1,England,2015-16,London,High
278,Conservatoire for Dance and Drama,195,185,1.6,88.4,5,2,1.9,5,3,9.8,1.6,1.9,106.7,England,2015-16,Coventry,Low
279,Courtauld Institute of Art,50,45,2.9,94.6,0,4,1.9,0,2,3.5,2.9,0.9,65.1,England,2015-16,Cranfield,Low
280,Court Theatre Training Company Ltd,10,10,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
281,Coventry University,5190,4635,0.36,87.5,175,3.3,3.3,385,7.4,9.2,0.36,2.5,99,England,2015-16,Carlisle,Moderate
282,Cranfield University,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Leicester,Low
283,University for the Creative Arts,1415,1225,0.74,88.7,45,3,2.3,150,10.5,9,0.74,3.6,122.3,England,2015-16,Derby,High
284,University of Cumbria,1740,1500,0.69,88.1,40,2.2,2.5,200,11.5,9.4,0.69,1.9,93.4,England,2015-16,Durham,High
285,De Montfort University,5325,4605,0.37,87.3,240,4.5,3.4,485,9.1,9.3,0.37,2.8,98.5,England,2015-16,Norwich,Moderate
286,University of Derby,3505,3090,0.45,86.5,90,2.6,3.2,320,9.2,10.3,0.45,5.4,89.4,England,2015-16,London,Moderate
287,University of Durham,3315,3170,0.37,95,55,1.7,1.8,85,2.6,3.2,0.37,5.6,67.5,England,2015-16,Birmingham,Low
288,The University of East Anglia,3130,2925,0.43,92.3,60,1.9,2.3,150,4.7,5.4,0.43,1.8,89.6,England,2015-16,Ormskirk,Low
289,The University of East London,3265,2705,0.51,85,145,4.5,3.1,415,12.7,11.9,0.51,2.8,95.2,England,2015-16,London,High
290,The Queen's Foundation for Ecumenical Theological Education,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Colchester,Low
291,Edge Hill University,3700,3345,0.44,88,50,1.4,2.9,305,8.2,9.2,0.44,2.1,98.5,England,2015-16,Reading,Moderate
292,Empire College London Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Exeter,Low
293,The University of Essex,2330,2095,0.52,89.4,85,3.7,2.9,150,6.5,7.7,0.52,1.6,100.5,England,2015-16,Falmouth,Moderate
294,East End Computing and Business College Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
295,University College of Estate Management,40,35,4.18,86.9,0,0,2.2,5,14.3,10.9,4.18,1.8,59.3,England,2015-16,London,High
296,EThames Graduate School Limited,45,45,3.23,84.8,0,0,1.7,0,2.2,13.5,3.23,2.1,118,England,2015-16,Beaconsfield,Low
297,The University of Exeter,4405,4220,0.32,94,80,1.8,2.1,110,2.5,3.9,0.32,4.9,79.6,England,2015-16,London,Low
298,Falmouth University,1575,1405,0.67,89,35,2.3,2.6,135,8.5,8.4,0.67,2.3,114.8,England,2015-16,London,Moderate
299,Fairfield School of Business Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Cheltenham,Low
300,Met Film School Limited,45,40,3.6,86.1,0,0,2.3,5,6.7,11.7,3.6,1.8,96.8,England,2015-16,London,Moderate
301,The National Film and Television School,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
302,ForMission Ltd,80,55,3.89,86,0,0,0.9,25,30,13.1,3.89,11.4,54.3,England,2015-16,London,High
303,Futureworks,195,165,2.08,86.7,10,4.1,2.4,25,11.8,10.9,2.08,0.9,128.7,England,2015-16,London,High
304,University of Gloucestershire,2245,2045,0.55,87.7,25,1.2,2.8,170,7.6,9.5,0.55,1.3,102.4,England,2015-16,Edgbaston,Moderate
305,Goldsmiths College,1815,1495,0.68,88.6,95,5.1,2.7,225,12.4,8.6,0.68,1.9,91.5,England,2015-16,Cirencester,High
306,Grafton College,0,0,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,Hatfield,Low
307,The University of Greenwich,4125,3505,0.44,86.7,180,4.4,3,435,10.6,10.3,0.44,2.3,96.3,England,2015-16,Huddersfield,High
308,GSM London,2740,1800,0.61,73.7,95,3.4,4,845,30.9,22.3,0.61,28,85.9,England,2015-16,Hull,Very High
309,Guildhall School of Music and Drama,130,120,1.95,91.8,5,2.3,2,5,3.1,6.3,1.95,0.6,122.1,England,2015-16,London,Low
310,Harper Adams University,530,500,0.94,90.6,10,1.7,2.6,20,4.1,6.9,0.94,16.8,37.4,England,2015-16,London,Low
311,University of Hertfordshire,5060,4490,0.37,87.6,185,3.6,3.2,385,7.6,9.1,0.37,3.3,96.9,England,2015-16,London,Moderate
312,Heythrop College,5,5,0,0,0,0,0,0,0,0,0,0,0,England,2015-16,London,Low
313,The University of Huddersfield,3690,3240,0.45,87.2,105,2.8,3.3,350,9.5,9.6,0.45,1.7,102.1,England,2015-16,London,Moderate
314,The University of Hull,3780,3310,0.45,88.2,105,2.7,3.1,365,9.7,8.7,0.45,2.2,90.6,England,2015-16,London,Moderate
